Acacia angustissima; Prairie acacia. Timbre. Fernleaf Acacia; Height: 5m, growing fast. Hardiness: 7-10. Light: full sun. Water preference: dry - moist.; ; uncategorised; 7
Acacia auriculiformis; Ear-Pod Wattle; Height: 25m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; Black Acacia, Earleaf, Black wattle; uncategorised; 10
Acacia catechu; Cutch tree; Height: 15m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; Catechu acacia; uncategorised; 10
Acacia colei; Cole's wattle; Height: 4m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; Candelabra Wattle, Soap wattle,; Food forest; 10
Acacia concinna; Shikakai; Height: 10m, growing at a medium rate. Hardiness: 10-11. Light: full sun. Water preference: unknown moisture.; Soap-Pod; uncategorised; 10
Acacia coriacea; Wiry Wattle; Height: 5m, growing at a medium rate. Hardiness: 9-11. Light: semi-shade or full sun. Water preference: dry - moist.; Acacia, Leather Leaf; Food forest; 9
Acacia cowleana; Hall’s Creek wattle; Height: 5m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; ; Food forest; 10
Acacia cultriformis; Knife-Leaf Wattle; Height: 4m, growing slowly. Hardiness: 9-11. Light: full sun. Water preference: dry - moist.; Knife acacia; uncategorised; 9
Acacia dealbata; Mimosa; Height: 25m, growing fast. Hardiness: 7-10. Light: full sun. Water preference: dry - moist.; Silver wattle; uncategorised; 7
Acacia decurrens; Green Wattle; Height: 12m, growing fast. Hardiness: 6-9. Light: full sun. Water preference: dry - moist.; ; uncategorised; 6
Acacia farnesiana; Sweet Acacia; Height: 9m, growing fast. Hardiness: 9-11. Light: full sun. Water preference: dry - moist.; Perfume Acacia, Huisache; uncategorised; 9
Acacia holosericea; Strap wattle; Height: 3m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: moist.; Candelabra wattle; uncategorised; 10
Acacia koa; Koa Acacia; Height: 20m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; ; uncategorised; 10
Acacia koaia; Koai'a; Height: 5m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; ; uncategorised; 10
Acacia leucophloea; Kuteera-Gum; Height: 25m, growing at a medium rate. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; White-barked acacia.; uncategorised; 10
Acacia longifolia; Sydney Golden Wattle; Height: 9m, growing at a medium rate. Hardiness: 10-11. Light: full sun. Water preference: dry - moist.; Acacia; Food forest; 10
Acacia mearnsii; Black Wattle; Height: 10m, growing fast. Hardiness: 8-11. Light: full sun. Water preference: moist.; Late black wattle; uncategorised; 8
