treeId;latinName;latitude;longitude;datePlanted;notes;Origin;Rootstock;Variety
422;Prunus Domestica;45.10477317;1.92947933;1602335314832;probably bought in at Julien a;Origin;Rootstock;Variety
423;Prunus Domestica;45.10475818;1.92946795;1602335394951;probably bought in at Julien a;Origin;Rootstock;Variety
425;Mespilus germanica;45.10475177;1.92934156;1602336446913;medlar;Origin;Rootstock;Variety
426;Acacia Dealbata;45.10475319;1.92956908;1602339405989;;Origin;Rootstock;Variety
427;Elaeagnus Umbellata;45.10467103;1.92956254;1602339445010;;Origin;Rootstock;Variety
428;Schisandra chinensis;45.10457818;1.92940421;1602280800000;magnolia vine, from seed 71. needs support planted October 2020;Origin;Rootstock;Variety
429;Robinia Psuedoacacia;45.10450308;1.92944707;1602280800000;;Origin;Rootstock;Variety
430;Robinia Psuedoacacia;45.10454202;1.92950396;1602341056544;;Origin;Rootstock;Variety
431;Prunus Cerasifera;45.10461185;1.92957753;1602341863097;from bought in stock, originally planned at top of allotment;Origin;Rootstock;Variety
432;Robinia Psuedoacacia;45.10492822;1.92793259;1602414239007;;Origin;Rootstock;Variety
433;diospyros virginiana;45.10498141;1.92790097;1602414283594;Persimmon;Origin;Rootstock;Variety
434;Elaeagnus Umbellata;45.10498207;1.92787887;1602414313830;;Origin;Rootstock;Variety
435;morus alba;45.10494493;1.92787049;1602414369431;White mulberry from seed 31;Origin;Rootstock;Variety
436;morus alba;45.10482659;1.92786096;1602414389721;White mulberry from seed 31;Origin;Rootstock;Variety
437;Robinia Psuedoacacia;45.10496663;1.927891;1602414422282;;Origin;Rootstock;Variety
438;diospyros virginiana;45.1049273;1.92788181;1602414445864;Persimmon;Origin;Rootstock;Variety
439;Elaeagnus Umbellata;45.10491049;1.92789498;1602414467872;;Origin;Rootstock;Variety
440;Robinia Psuedoacacia;45.10485285;1.92788025;1602414488832;;Origin;Rootstock;Variety
441;diospyros virginiana;45.10476243;1.92786634;1602414508594;Persimmon;Origin;Rootstock;Variety
442;Elaeagnus Umbellata;45.10477151;1.92786586;1602414545520;from seed 10;Origin;Rootstock;Variety
443;Punica Granatum;45.10468012;1.92790399;1602414675764;plant 21, cutting from original trees in greenhouse;Origin;Rootstock;Variety
444;diospyros virginiana;45.1046111;1.92789172;1602414744658;Persimmon;Origin;Rootstock;Variety
445;Acacia Dealbata;45.10452387;1.92788806;1602414777499;;Origin;Rootstock;Variety
446;diospyros virginiana;45.10451179;1.92791309;1602414819576;Persimmon;Origin;Rootstock;Variety
447;Prunus Armeniaca;45.10449096;1.92789852;1602414843662;from seed 66;Origin;Rootstock;Variety
448;Elaeagnus Umbellata;45.10447504;1.92790179;1602414866606;;Origin;Rootstock;Variety
449;Elaeagnus Umbellata;45.1044548;1.92791529;1602414876588;;Origin;Rootstock;Variety
450;amélanchier;45.1043526;1.92794696;1602414938242;amélanchier?;Origin;Rootstock;Variety
451;Prunus Armeniaca;45.10438961;1.92794658;1602414961740;;Origin;Rootstock;Variety
452;Elaeagnus Umbellata;45.10439014;1.92794714;1602414985144;;Origin;Rootstock;Variety
453;Elaeagnus Umbellata;45.10438105;1.92793866;1602415002599;from seed 10;Origin;Rootstock;Variety
454;Robinia Psuedoacacia;45.10436834;1.92792053;1602415017504;;Origin;Rootstock;Variety
455;Zanthoxylum Schinifolium;45.10425469;1.92871674;1602415616522;;Origin;Rootstock;Variety
456;Robinia Psuedoacacia;45.1042049;1.92870655;1602415628927;;Origin;Rootstock;Variety
457;Malus domestica;45.10418789;1.92863905;1602415655133;;Origin;Rootstock;Bramley
458;Pyrus Bretschneideri;45.1042718;1.92865854;1602415677430;;Origin;Rootstock;
459;Pyrus Bretschneideri;45.10430284;1.92864239;1602415685919;;Origin;Rootstock;
460;Pyrus Bretschneideri;45.1043246;1.92860323;1602415692085;;Origin;Rootstock;
